Rank,City,Crime Index,Safety Index,Country,Continent_x,Population_2022,Area_km2,Density_per_km2,Growth Rate,GDP_2022,GDP_2023,Continent_y,City_Country,Latitude,Longitude,School_Enrollment_2022,Unemployment_Rate_2022,Income_per_Capita_2021
2,Pretoria,81.98,18.02,South Africa,Africa,59893885.0,1221037.0,49.0517,1.0084,406920004594.074,380699271814.508,Africa,"Pretoria, South Africa",-25.7459277,28.1879101,27.1743202209473,33.268,5520.94799061464
3,Celaya,81.8,18.2,Mexico,North America,127504125.0,1964375.0,64.9082,1.0063,1464312692331.58,1789114434843.46,Americas,"Celaya, Mexico",20.5222851,-100.83077392892064,46.4061317443848,3.256,7443.53351798716
4,San Pedro Sula,80.87,19.13,Honduras,North America,10432860.0,112492.0,92.7431,1.015,31426041806.7985,34400509852.0436,Americas,"San Pedro Sula, Honduras",15.5062156,-88.0248937,22.1740608215332,8.774,2404.35299386921
5,Port Moresby,80.71,19.29,Papua New Guinea,Oceania,10142619.0,462840.0,21.9139,1.0194,31647277767.3976,30729242919.4411,Oceania,"Port Moresby, Papua New Guinea",-9.4743301,147.1599504,100.39470214843777,2.689,1831.82762498794
6,Durban,80.6,19.4,South Africa,Africa,59893885.0,1221037.0,49.0517,1.0084,406920004594.074,380699271814.508,Africa,"Durban, South Africa",-29.861825,31.009909,27.1743202209473,33.268,5520.94799061464
7,Johannesburg,80.55,19.45,South Africa,Africa,59893885.0,1221037.0,49.0517,1.0084,406920004594.074,380699271814.508,Africa,"Johannesburg, South Africa",-26.205,28.049722,27.1743202209473,33.268,5520.94799061464
8,Kabul,79.39,20.61,Afghanistan,Asia,41128771.0,652230.0,63.0587,1.0257,14497243872.1337,17233051620.1117,Asia,"Kabul, Afghanistan",34.5553,69.2075,10.8584403991699,14.1,340.523243575066
9,Rio de Janeiro,77.93,22.07,Brazil,South America,215313498.0,8515767.0,25.2841,1.0046,1951923942083.32,2173665655937.27,Americas,"Rio de Janeiro, Brazil",-22.9110137,-43.2093727,60.3906211853027,9.231,5775.8395830056
10,Natal,77.69,22.31,Brazil,South America,215313498.0,8515767.0,25.2841,1.0046,1951923942083.32,2173665655937.27,Americas,"Natal, Brazil",-5.805398,-35.2080905,60.3906211853027,9.231,5775.8395830056
11,Fortaleza,77.36,22.64,Brazil,South America,215313498.0,8515767.0,25.2841,1.0046,1951923942083.32,2173665655937.27,Americas,"Fortaleza, Brazil",-3.7304512,-38.5217989,60.3906211853027,9.231,5775.8395830056
12,Port Elizabeth,76.44,23.56,South Africa,Africa,59893885.0,1221037.0,49.0517,1.0084,406920004594.074,380699271814.508,Africa,"Port Elizabeth, South Africa",-33.9618359,25.6186512,27.1743202209473,33.268,5520.94799061464
13,Recife,76.42,23.58,Brazil,South America,215313498.0,8515767.0,25.2841,1.0046,1951923942083.32,2173665655937.27,Americas,"Recife, Brazil",-8.0584933,-34.8848193,60.3906211853027,9.231,5775.8395830056
16,Salvador,75.69,24.31,Brazil,South America,215313498.0,8515767.0,25.2841,1.0046,1951923942083.32,2173665655937.27,Americas,"Salvador, Brazil",-12.9822499,-38.4812772,60.3906211853027,9.231,5775.8395830056
17,Rosario,75.11,24.89,Argentina,South America,45510318.0,2780400.0,16.3683,1.0052,632790070063.124,646075277525.125,Americas,"Rosario, Argentina",-32.9593609,-60.6617024,107.047912597656,6.805,9092.08560830429
20,Rockhampton,73.51,26.49,Australia,Oceania,26177413.0,7692024.0,3.4032,1.0099,1690858246994.43,1728057316695.61,Oceania,"Rockhampton, Australia",-23.3782137,150.5134227,106.240760803223,3.728,45710.8904505974
21,Cape Town,73.13,26.87,South Africa,Africa,59893885.0,1221037.0,49.0517,1.0084,406920004594.074,380699271814.508,Africa,"Cape Town, South Africa",-33.9288301,18.4172197,27.1743202209473,33.268,5520.94799061464
22,Porto Alegre,72.92,27.08,Brazil,South America,215313498.0,8515767.0,25.2841,1.0046,1951923942083.32,2173665655937.27,Americas,"Porto Alegre, Brazil",-30.0324999,-51.2303767,60.3906211853027,9.231,5775.8395830056
23,Tijuana,71.87,28.13,Mexico,North America,127504125.0,1964375.0,64.9082,1.0063,1464312692331.58,1789114434843.46,Americas,"Tijuana, Mexico",32.5317397,-117.019529,46.4061317443848,3.256,7443.53351798716
24,Kingston,71.44,28.56,Jamaica,North America,2827377.0,10991.0,257.2447,0.9999,17097760723.9201,19423355409.2316,Americas,"Kingston, Jamaica",17.9712148,-76.7928128,66.37527204814714,4.083,4687.72767428817
25,Bloemfontein,71.32,28.68,South Africa,Africa,59893885.0,1221037.0,49.0517,1.0084,406920004594.074,380699271814.508,Africa,"Bloemfontein, South Africa",-29.116395,26.215496,27.1743202209473,33.268,5520.94799061464
28,Lima,70.7,29.3,Peru,South America,34049588.0,1285216.0,26.4933,1.0099,246488757636.211,267603248655.253,Americas,"Lima, Peru",-12.0464,-77.0428,68.31110795338942,3.85,5142.14438609315
29,Guayaquil,70.59,29.41,Ecuador,South America,18001000.0,276841.0,65.0229,1.0114,116586079000.0,118844826000.0,Americas,"Guayaquil, Ecuador",-2.1900563,-79.8868741,59.8797798156738,3.761,4420.8252862934
30,Sao Paulo,70.49,29.51,Brazil,South America,215313498.0,8515767.0,25.2841,1.0046,1951923942083.32,2173665655937.27,Americas,"Sao Paulo, Brazil",-23.5506507,-46.6333824,60.3906211853027,9.231,5775.8395830056
32,San Salvador,69.79,30.21,El Salvador,North America,6336392.0,21041.0,301.145,1.0035,31988920000.0,34015620000.0,Americas,"San Salvador, El Salvador",13.6989939,-89.1914249,31.2823791503906,2.999,3710.6608174124
